file_name,state,city,agency,station_location,start_month,start_month_num,start_year,latitude,longitude
BR020,Bihar,Chhapra,BSPCB,"Darshan Nagar, Chhapra ",November,11,2021,25.7827064,84.7459203
BR021,Bihar,Bhagalpur,BSPCB,"Mayaganj, Bhagalpur ",November,11,2021,25.2610043,87.0086927
BR022,Bihar,Aurangabad,BSPCB,"Gurdeo Nagar, Aurangabad ",November,11,2021,24.7548649,84.3680054
BR023,Bihar,Bhagalpur,BSPCB,"DM Office_Kachari Chowk, Bhagalpur ",November,11,2021,25.2506776,86.9897915
BR024,Bihar,Manguraha,BSPCB,"Forest Rest House, Manguraha ",November,11,2021,26.5638594,84.60735369999999
BR025,Bihar,Purnia,BSPCB,"Mariam Nagar, Purnia ",November,11,2021,25.766642,87.46658839999999
BR026,Bihar,Gaya,BSPCB,"Kareemganj, Gaya ",November,11,2021,24.7953413,84.98825479999999
BR027,Bihar,Buxar,BSPCB,"Central Jail, Buxar ",November,11,2021,25.554468,83.9504978
BR028,Bihar,Saharsa,BSPCB,"Police Line, Saharsa ",November,11,2021,25.8979684,86.5880148
BR029,Bihar,Kishanganj,BSPCB,"SDM Office_Khagra, Kishanganj ",November,11,2021,26.0824165,87.9377192
BR030,Bihar,Araria,BSPCB,"Kharahiya Basti, Araria ",November,11,2021,26.1475707,87.45668169999999
BR031,Bihar,Siwan,BSPCB,"Chitragupta Nagar, Siwan ",November,11,2021,26.2298955,84.3561766
BR032,Bihar,Katihar,BSPCB,"Mirchaibari, Katihar ",November,11,2021,25.5626421,87.5628552
BR033,Bihar,Arrah,BSPCB,"New DM Office, Arrah ",December,12,2021,25.5626095,84.663264
BR034,Bihar,Samastipur,BSPCB,"DM Office_Kasipur, Samastipur ",March,3,2022,25.8615205,85.7758923
BR035,Bihar,Begusarai,BSPCB,"DRCC Anandpur, Begusarai ",April,4,2022,25.5125411,86.0883392
CG001,Chhattisgarh,Bilaspur,NTPC,"Mangala, Bilaspur ",September,9,2021,22.097191,82.1293881
CG002,Chhattisgarh,Bhilai,Bhilai Steel Plant,"Civic Center, Bhilai ",November,11,2021,21.1861215,81.3428673
CG003,Chhattisgarh,Korba,CECB,"Urja Nagar, Korba ",October,10,2022,22.3470904,82.55035629999999
